Event,Sample label (Offset in mm/cm),Expedition,Site,H,Core,Type,Sect,Offset [cm],Depth sed [m] (CSFA),Depth comp [mcd] (Cappelli et al. 2019 (CCSF)),Offset [m] (Cappelli splice),Offset [m] (Bohaty splice (CCSF offset [S...),Depth comp [mcd] (Bohaty (CCSF-A/CCSF-M)),Depth comp [mcd] (two-site composite (Depth CCS...),Ca count [#],Fe count [#],Ca/Fe,Comment (Notes),Age [Ma],Al,Ti,Ti_Al,log_CaFe,CaCO3_wt_pct
342-U1410B,"342-U1410B-10H-4,38",342,U1410,B,10,H,4,38,81.18,87.75,6.57,6.57,87.75,68.35,1461162,490590,2.978,,40.1218348,33091.0,37354.0,1.128826569157777,0.4739246934161574,34.686121003402775
342-U1410B,"342-U1410B-10H-4,40",342,U1410,B,10,H,4,40,81.2,87.77,6.57,6.57,87.77,68.37,1602865,437022,3.668,,40.1224589,32879.0,35817.0,1.0893579488427263,0.5644293269979835,37.82165403384514
342-U1410B,"342-U1410B-10H-4,42",342,U1410,B,10,H,4,42,81.22,87.79,6.57,6.57,87.79,68.39,1648796,414325,3.979,,40.123083,32860.0,36478.0,1.1101034692635423,0.5997739391463883,39.04616812172662
342-U1410B,"342-U1410B-10H-4,44",342,U1410,B,10,H,4,44,81.24,87.81,6.57,6.57,87.81,68.41,1674477,399575,4.191,,40.1237072,33507.0,35975.0,1.0736562509326408,0.6223176608338443,39.827195359588536
342-U1410B,"342-U1410B-10H-4,46",342,U1410,B,10,H,4,46,81.26,87.83,6.57,6.57,87.83,68.43,1704012,395968,4.303,,40.1243313,31636.0,34206.0,1.0812365659375396,0.6337713460825555,40.22400828503014
342-U1410B,"342-U1410B-10H-4,48",342,U1410,B,10,H,4,48,81.28,87.85,6.57,6.57,87.85,68.45,1759078,383954,4.581,,40.1249554,31466.0,33287.0,1.0578719888133223,0.6609602917760836,41.16596930858242
342-U1410B,"342-U1410B-10H-4,50",342,U1410,B,10,H,4,50,81.3,87.87,6.57,6.57,87.87,68.47,1803919,383581,4.703,,40.1255795,30531.0,32516.0,1.0650158854934328,0.6723749787460795,41.56143113865792
342-U1410B,"342-U1410B-10H-4,52",342,U1410,B,10,H,4,52,81.32,87.89,6.57,6.57,87.89,68.49,1942369,353831,5.49,,40.1262037,29676.0,31788.0,1.071168621107966,0.7395723444500919,43.88948387347344
342-U1410B,"342-U1410B-10H-4,54",342,U1410,B,10,H,4,54,81.34,87.91,6.57,6.57,87.91,68.51,2019534,346940,5.821,,40.1268278,29235.0,30387.0,1.0394048229861468,0.7649975992848805,44.770341827224684
342-U1410B,"342-U1410B-10H-4,56",342,U1410,B,10,H,4,56,81.36,87.93,6.57,6.57,87.93,68.53,1985860,355417,5.587,,40.1274519,30263.0,30423.0,1.005286984106004,0.7471786713601644,44.15300506927289
