Event,Sample label (Offset in mm/cm),Expedition,Site,H,Core,Type,Sect,Offset [cm],Depth sed [m] (CSFA),Depth comp [mcd] (Cappelli et al. 2019 (CCSF)),Offset [m] (Cappelli splice),Offset [m] (Bohaty splice (CCSF offset [S...),Depth comp [mcd] (Bohaty (CCSF-A/CCSF-M)),Depth comp [mcd] (two-site composite (Depth CCS...),Ca count [#],Fe count [#],Ca/Fe,Comment (Notes),Age [Ma],Al,Ti,Ti_Al,log_CaFe,CaCO3_wt_pct
342-U1410A,"342-U1410A-11H-4,58",342,U1410,A,11,H,4,58,99.08,106.31,7.23,7.23,106.31,107.58,1740847,453424,3.839,,41.1574,25591.0,27595.0,1.0783087804306202,0.5842181121174049,38.50723649430749
342-U1410A,"342-U1410A-11H-4,60",342,U1410,A,11,H,4,60,99.1,106.33,7.23,7.23,106.33,107.6,1827276,418988,4.361,,41.158,27565.0,28961.0,1.0506439325231272,0.6395860866734264,40.42545997280086
342-U1410A,"342-U1410A-11H-4,62",342,U1410,A,11,H,4,62,99.12,106.35,7.23,7.23,106.35,107.62,1854093,371694,4.988,,41.1586,29807.0,31853.0,1.0686415942563827,0.697926444806505,42.44666168032137
342-U1410A,"342-U1410A-11H-4,64",342,U1410,A,11,H,4,64,99.14,106.37,7.23,7.23,106.37,107.64,1667641,435037,3.833,,41.1592,28355.0,29767.0,1.0497972138952565,0.5835388192543521,38.483702393067034
342-U1410A,"342-U1410A-11H-4,66",342,U1410,A,11,H,4,66,99.16,106.39,7.23,7.23,106.39,107.66,1674308,446379,3.751,,41.1598,28826.0,30314.0,1.0516200652188996,0.5741470641507227,38.15832503750179
342-U1410A,"342-U1410A-11H-4,68",342,U1410,A,11,H,4,68,99.18,106.41,7.23,7.23,106.41,107.68,1869490,375069,4.984,,41.1604,29579.0,31119.0,1.052063964298996,0.6975780336511131,42.434590975842816
342-U1410A,"342-U1410A-11H-4,70",342,U1410,A,11,H,4,70,99.2,106.43,7.23,7.23,106.43,107.7,1903781,364837,5.218,,41.161,28111.0,28963.0,1.0303084201913841,0.717504074764202,43.124928670205776
342-U1410A,"342-U1410A-11H-4,72",342,U1410,A,11,H,4,72,99.22,106.45,7.23,7.23,106.45,107.72,2014495,328513,6.132,,41.1616,27992.0,27660.0,0.9881394684195485,0.7876021461823375,45.55347635448709
342-U1410A,"342-U1410A-11H-4,74",342,U1410,A,11,H,4,74,99.24,106.47,7.23,7.23,106.47,107.74,1967453,340575,5.777,,41.1622,28867.0,29343.0,1.016489416981328,0.7617023675414127,44.65617852347225
342-U1410A,"342-U1410A-11H-4,76",342,U1410,A,11,H,4,76,99.26,106.49,7.23,7.23,106.49,107.76,1990207,364673,5.458,,41.1628,28217.0,28550.0,1.0118013963213666,0.7370335313338777,43.8015266930622
342-U1410A,"342-U1410A-11H-4,78",342,U1410,A,11,H,4,78,99.28,106.51,7.23,7.23,106.51,107.78,1994863,391015,5.102,,41.1634,26021.0,26079.0,1.0022289689097268,0.7077404542737713,42.78666803831481
342-U1410A,"342-U1410A-11H-4,80",342,U1410,A,11,H,4,80,99.3,106.53,7.23,7.23,106.53,107.8,2263361,299885,7.547,,41.164,26138.0,25046.0,0.9582217461167649,0.877774349991398,48.67749235545199
342-U1410A,"342-U1410A-11H-4,82",342,U1410,A,11,H,4,82,99.32,106.55,7.23,7.23,106.55,107.82,2386899,271249,8.8,,41.1646,25004.0,24025.0,0.9608462645976644,0.9444826721501687,50.9886021766426
342-U1410A,"342-U1410A-11H-4,84",342,U1410,A,11,H,4,84,99.34,106.57,7.23,7.23,106.57,107.84,2357379,259884,9.071,,41.1652,25194.0,23262.0,0.9233150750178614,0.9576551669434912,51.444963258757255
342-U1410A,"342-U1410A-11H-4,86",342,U1410,A,11,H,4,86,99.36,106.59,7.23,7.23,106.59,107.86,2406400,270288,8.903,,41.1658,25618.0,23398.0,0.9133421812787883,0.9495363733761426,51.16368765561646
342-U1410A,"342-U1410A-11H-4,88",342,U1410,A,11,H,4,88,99.38,106.61,7.23,7.23,106.61,107.88,2475822,264953,9.344,,41.1664,24756.0,22426.0,0.9058814024882856,0.9705328297683242,51.891109887323594
342-U1410A,"342-U1410A-11H-4,90",342,U1410,A,11,H,4,90,99.4,106.63,7.23,7.23,106.63,107.9,2605844,258990,10.062,,41.167,23627.0,21197.0,0.8971515638887714,1.0026843129897294,53.00499802352918
342-U1410A,"342-U1410A-11H-4,92",342,U1410,A,11,H,4,92,99.42,106.65,7.23,7.23,106.65,107.92,2834712,234759,12.075,,41.1676,22053.0,19712.0,0.8938466421802023,1.0818871394235496,55.748979945328884
342-U1410A,"342-U1410A-11H-4,94",342,U1410,A,11,H,4,94,99.44,106.67,7.23,7.23,106.67,107.94,3066550,191323,16.028,,41.1682,18538.0,16372.0,0.8831589168195059,1.204879333760662,60.010044518138145
342-U1410A,"342-U1410A-11H-4,96",342,U1410,A,11,H,4,96,99.46,106.69,7.23,7.23,106.69,107.96,2901136,200579,14.464,,41.1688,18294.0,15144.0,0.8278123975073794,1.160288413131288,58.465192072933476
342-U1410A,"342-U1410A-11H-4,98",342,U1410,A,11,H,4,98,99.48,106.71,7.23,7.23,106.71,107.98,2889603,189624,15.239,,41.1694,18898.0,16121.0,0.8530532331463647,1.1829564690553511,59.25052687042265
342-U1410A,"342-U1410A-11H-4,100",342,U1410,A,11,H,4,100,99.5,106.73,7.23,7.23,106.73,108.0,2881571,213619,13.489,,41.17,20713.0,18420.0,0.8892965770289191,1.12997975466971,57.415148600532106
342-U1410A,"342-U1410A-11H-4,102",342,U1410,A,11,H,4,102,99.52,106.75,7.23,7.23,106.75,108.02,2970451,217885,13.633,,41.1706,19695.0,17344.0,0.8806296014216807,1.134591434710877,57.57492025555834
342-U1410A,"342-U1410A-11H-4,104",342,U1410,A,11,H,4,104,99.54,106.77,7.23,7.23,106.77,108.04,2899936,236175,12.279,,41.1712,19528.0,17158.0,0.8786358049979517,1.0891629993649319,56.00105211299807
342-U1410A,"342-U1410A-11H-4,106",342,U1410,A,11,H,4,106,99.56,106.79,7.23,7.23,106.79,108.06,3004505,216604,13.871,,41.1718,19155.0,17459.0,0.9114591490472461,1.1421077717313066,57.83532375163112
342-U1410A,"342-U1410A-11H-4,108",342,U1410,A,11,H,4,108,99.58,106.81,7.23,7.23,106.81,108.08,2640468,269159,9.81,,41.1724,22661.0,20995.0,0.9264816204051013,0.9916690073799486,52.62337276067832
342-U1410A,"342-U1410A-11H-4,110",342,U1410,A,11,H,4,110,99.6,106.83,7.23,7.23,106.83,108.1,2554276,266133,9.598,,41.173,22658.0,21219.0,0.936490422808721,0.9821807455964027,52.294651931187374
342-U1410A,"342-U1410A-11H-4,112",342,U1410,A,11,H,4,112,99.62,106.85,7.23,7.23,106.85,108.12,2448809,291128,8.411,,41.1736,24166.0,22607.0,0.9354878755276007,0.9248476329755372,50.30834624443749
342-U1410A,"342-U1410A-11H-4,114",342,U1410,A,11,H,4,114,99.64,106.87,7.23,7.23,106.87,108.14,2329328,334675,6.96,,41.1742,26022.0,25313.0,0.972753823687649,0.8426092396105621,47.459197106307926
342-U1410A,"342-U1410A-11H-4,116",342,U1410,A,11,H,4,116,99.66,106.89,7.23,7.23,106.89,108.16,2272320,319093,7.121,,41.1748,25776.0,26270.0,1.0191651148355059,0.8525409857697989,47.80328245199468
342-U1410A,"342-U1410A-11H-4,118",342,U1410,A,11,H,4,118,99.68,106.91,7.23,7.23,106.91,108.18,2093948,360872,5.802,,41.1754,26594.0,27683.0,1.0409490862600586,0.7635777244666453,44.72115026414693
342-U1410A,"342-U1410A-11H-4,120",342,U1410,A,11,H,4,120,99.7,106.93,7.23,7.23,106.93,108.2,2037724,377726,5.395,,41.176,24995.0,27511.0,1.1006601320264053,0.7319914490189294,43.62684375126081
342-U1410A,"342-U1410A-11H-4,122",342,U1410,A,11,H,4,122,99.72,106.95,7.23,7.23,106.95,108.22,1856664,482509,3.848,,41.1766,26207.0,29182.0,1.1135192887396497,0.5852350633657754,38.54246877030729
342-U1410A,"342-U1410A-11H-4,124",342,U1410,A,11,H,4,124,99.74,106.97,7.23,7.23,106.97,108.24,1741174,529667,3.287,,41.1772,26835.0,30615.0,1.140860816098379,0.5167997040816243,36.17152574790788
342-U1410A,"342-U1410A-11H-4,126",342,U1410,A,11,H,4,126,99.76,106.99,7.23,7.23,106.99,108.26,1859178,475405,3.911,,41.1778,29934.0,31617.0,1.05622369212267,0.5922878159521306,38.78681138366157
342-U1410A,"342-U1410A-11H-4,128",342,U1410,A,11,H,4,128,99.78,107.01,7.23,7.23,107.01,108.28,1971255,381521,5.167,,41.1784,29407.0,32598.0,1.1085115788757778,0.7132384615456617,42.977146500249454
342-U1410A,"342-U1410A-11H-4,130",342,U1410,A,11,H,4,130,99.8,107.03,7.23,7.23,107.03,108.3,1962747,409854,4.789,,41.179,30511.0,31908.0,1.0457867654288617,0.6802448370426076,41.83408237934114
342-U1410A,"342-U1410A-11H-4,132",342,U1410,A,11,H,4,132,99.82,107.05,7.23,7.23,107.05,108.32,2151306,326311,6.593,,41.1796,29206.0,30010.0,1.0275285900157503,0.8190830757437026,46.64413315914058
342-U1410A,"342-U1410A-11H-4,134",342,U1410,A,11,H,4,134,99.84,107.07,7.23,7.23,107.07,108.34,2162547,323875,6.677,,41.1802,29541.0,30050.0,1.0172302901052774,0.8245813762334826,46.83462177960901
342-U1410A,"342-U1410A-11H-4,136",342,U1410,A,11,H,4,136,99.86,107.09,7.23,7.23,107.09,108.36,2190168,338718,6.466,,41.1808,31213.0,31751.0,1.0172364079069618,0.8106357002755373,46.351473836046
342-U1410A,"342-U1410A-11H-4,138",342,U1410,A,11,H,4,138,99.88,107.11,7.23,7.23,107.11,108.38,2158637,327147,6.598,,41.1814,29262.0,30832.0,1.0536532021051193,0.8194123112093251,46.655539521847075
342-U1410A,"342-U1410A-11H-4,140",342,U1410,A,11,H,4,140,99.9,107.13,7.23,7.23,107.13,108.4,2088239,332109,6.288,,41.182,30329.0,32422.0,1.0690098585512215,0.7985125330313515,45.93146670687118
342-U1410A,"342-U1410A-11H-4,142",342,U1410,A,11,H,4,142,99.92,107.15,7.23,7.23,107.15,108.42,1912446,427999,4.468,,41.1826,30173.0,32602.0,1.080502435952673,0.6501131644435715,40.79017058214754
342-U1410A,"342-U1410A-11H-4,144",342,U1410,A,11,H,4,144,99.94,107.17,7.23,7.23,107.17,108.44,2209988,311182,7.102,,41.1832,29765.0,30807.0,1.0350075592138417,0.8513806679655967,47.7630832416681
342-U1410A,"342-U1410A-11H-4,146",342,U1410,A,11,H,4,146,99.96,107.19,7.23,7.23,107.19,108.46,1703586,582955,2.922,,41.1838,26480.0,26821.0,1.0128776435045317,0.465680211598278,34.40049093082234
342-U1410A,"342-U1410A-11H-4,148",342,U1410,A,11,H,4,148,99.98,107.21,7.23,7.23,107.21,108.48,2186713,350984,6.23,,41.1844,30325.0,32226.0,1.0626875515251444,0.7944880466591696,45.79203837650694
342-U1410A,"342-U1410A-11H-5,2",342,U1410,A,11,H,5,2,100.02,107.25,7.23,7.23,107.25,108.52,1753894,423636,4.14,,41.1856,30404.0,31919.0,1.0498289698723853,0.617000341120899,39.64297681813355
342-U1410A,"342-U1410A-11H-5,4",342,U1410,A,11,H,5,4,100.04,107.27,7.23,7.23,107.27,108.54,1997411,311358,6.415,,41.1862,30603.0,31576.0,1.0317942685357644,0.8071966607109473,46.23232831033077
342-U1410A,"342-U1410A-11H-5,6",342,U1410,A,11,H,5,6,100.06,107.29,7.23,7.23,107.29,108.56,1931712,312394,6.184,,41.1868,30251.0,30580.0,1.0108756735314535,0.7912694809102685,45.680531166136255
342-U1410A,"342-U1410A-11H-5,8",342,U1410,A,11,H,5,8,100.08,107.31,7.23,7.23,107.31,108.58,1977504,336872,5.87,,41.1874,30198.0,31748.0,1.0513279025101,0.7686381012476144,44.89646701772361
342-U1410A,"342-U1410A-11H-5,10",342,U1410,A,11,H,5,10,100.1,107.33,7.23,7.23,107.33,108.6,1863802,309325,6.025,,41.188,28233.0,29533.0,1.046045407856055,0.7799570512469061,45.28861204044907
342-U1410A,"342-U1410A-11H-5,12",342,U1410,A,11,H,5,12,100.12,107.35,7.23,7.23,107.35,108.62,1768929,291266,6.073,,41.1886,28708.0,28460.0,0.9913612930193674,0.7834032811225635,45.40800667449122
342-U1410A,"342-U1410A-11H-5,14",342,U1410,A,11,H,5,14,100.14,107.37,7.23,7.23,107.37,108.64,1823360,349077,5.223,,41.1892,30114.0,31537.0,1.0472537690110912,0.7179200258369937,43.139339295122646
342-U1410A,"342-U1410A-11H-5,16",342,U1410,A,11,H,5,16,100.16,107.39,7.23,7.23,107.39,108.66,1908076,341335,5.59,,41.1898,29375.0,31250.0,1.0638297872340425,0.7474118078864233,44.161082084225136
342-U1410A,"342-U1410A-11H-5,18",342,U1410,A,11,H,5,18,100.18,107.41,7.23,7.23,107.41,108.68,1923710,310547,6.195,,41.1904,28633.0,30155.0,1.0531554500052387,0.7920413107120823,45.70727120962009
342-U1410A,"342-U1410A-11H-5,20",342,U1410,A,11,H,5,20,100.2,107.43,7.23,7.23,107.43,108.7,1815236,327252,5.547,,41.191,28993.0,30597.0,1.0553236988238541,0.7440581658788354,44.04489515687226
342-U1410A,"342-U1410A-11H-5,22",342,U1410,A,11,H,5,22,100.22,107.45,7.23,7.23,107.45,108.72,1656290,443036,3.738,,41.1916,27609.0,29598.0,1.0720417255242856,0.5726392970428132,38.10608844604826
342-U1410A,"342-U1410A-11H-5,24",342,U1410,A,11,H,5,24,100.24,107.47,7.23,7.23,107.47,108.74,1888778,288436,6.548,,41.1922,27654.0,28996.0,1.0485282418456643,0.8161086707399038,46.54108489778397
342-U1410A,"342-U1410A-11H-5,26",342,U1410,A,11,H,5,26,100.26,107.49,7.23,7.23,107.49,108.76,1741095,293296,5.936,,41.1928,25858.0,28514.0,1.1027148271328022,0.7734938922709707,45.06469589772778
342-U1410A,"342-U1410A-11H-5,28",342,U1410,A,11,H,5,28,100.28,107.51,7.23,7.23,107.51,108.78,1865533,303889,6.139,,41.1934,29443.0,30354.0,1.0309411405087796,0.7880976333802974,45.57064250846041
342-U1410A,"342-U1410A-11H-5,30",342,U1410,A,11,H,5,30,100.3,107.53,7.23,7.23,107.53,108.8,1883265,329107,5.722,,41.194,28801.0,31114.0,1.0803097114683518,0.7575478534692439,44.51224538344196
342-U1410A,"342-U1410A-11H-5,32",342,U1410,A,11,H,5,32,100.32,107.55,7.23,7.23,107.55,108.82,1969032,316155,6.228,,41.1946,28098.0,28406.0,1.0109616342800198,0.7943486038960826,45.78720738197978
342-U1410A,"342-U1410A-11H-5,34",342,U1410,A,11,H,5,34,100.34,107.57,7.23,7.23,107.57,108.84,2006309,280227,7.16,,41.1952,25763.0,26464.0,1.0272095641035595,0.8549130223078556,47.88546165785566
342-U1410A,"342-U1410A-11H-5,36",342,U1410,A,11,H,5,36,100.36,107.59,7.23,7.23,107.59,108.86,2047797,278224,7.36,,41.1958,24187.0,24589.0,1.0166204986149585,0.8668778143374989,48.29998187772265
342-U1410A,"342-U1410A-11H-5,38",342,U1410,A,11,H,5,38,100.38,107.61,7.23,7.23,107.61,108.88,2233510,260469,8.575,,41.1964,24806.0,24945.0,1.0056034830282996,0.933234128714808,50.59889638932452
342-U1410A,"342-U1410A-11H-5,40",342,U1410,A,11,H,5,40,100.4,107.63,7.23,7.23,107.63,108.9,2314851,240660,9.619,,41.197,24315.0,24275.0,0.9983549249434506,0.9831299247347001,52.32753624243368
342-U1410A,"342-U1410A-11H-5,42",342,U1410,A,11,H,5,42,100.42,107.65,7.23,7.23,107.65,108.92,2212696,281552,7.859,,41.1976,24787.0,23608.0,0.9524347440190423,0.8953672887733618,49.28699971955312
342-U1410A,"342-U1410A-11H-5,44",342,U1410,A,11,H,5,44,100.44,107.67,7.23,7.23,107.67,108.94,2444247,243017,10.058,,41.1982,23790.0,22802.0,0.9584699453551913,1.0025116312849083,52.999015465865654
342-U1410A,"342-U1410A-11H-5,46",342,U1410,A,11,H,5,46,100.46,107.69,7.23,7.23,107.69,108.96,2467281,237254,10.399,,41.1988,22759.0,21816.0,0.9585658420844501,1.016991578206205,53.50067322695398
342-U1410A,"342-U1410A-11H-5,48",342,U1410,A,11,H,5,48,100.48,107.71,7.23,7.23,107.71,108.98,2495142,231347,10.785,,41.1994,22475.0,20830.0,0.9268075639599556,1.0328201494385638,54.04905407729905
342-U1410A,"342-U1410A-11H-5,50",342,U1410,A,11,H,5,50,100.5,107.73,7.23,7.23,107.73,109.0,2576256,226197,11.389,,41.2,22243.0,20967.0,0.9426336375488917,1.0564855929511157,54.8689433677914
342-U1410A,"342-U1410A-11H-5,52",342,U1410,A,11,H,5,52,100.52,107.75,7.23,7.23,107.75,109.02,2833974,204459,13.861,,41.2006,21927.0,18952.0,0.8643225247411866,1.1417945635236573,57.82447265327711
342-U1410A,"342-U1410A-11H-5,54",342,U1410,A,11,H,5,54,100.54,107.77,7.23,7.23,107.77,109.04,2975060,188497,15.783,,41.2012,18843.0,17073.0,0.906065913071167,1.1981895565168215,59.77827718552528
342-U1410A,"342-U1410A-11H-5,56",342,U1410,A,11,H,5,56,100.56,107.79,7.23,7.23,107.79,109.06,2784600,144113,19.322,,41.2018,14509.0,11954.0,0.8239024054035426,1.2860520777735163,62.82227423446348
342-U1410A,"342-U1410A-11H-5,58",342,U1410,A,11,H,5,58,100.58,107.81,7.23,7.23,107.81,109.08,3108390,143992,21.587,,41.2024,13932.0,12476.0,0.8954923916164226,1.3341922915248736,64.49009193987925
342-U1410A,"342-U1410A-11H-5,60",342,U1410,A,11,H,5,60,100.6,107.83,7.23,7.23,107.83,109.1,3011166,166852,18.047,,41.203,16718.0,14813.0,0.8860509630338558,1.256405018334166,61.79515186018719
342-U1410A,"342-U1410A-11H-5,62",342,U1410,A,11,H,5,62,100.62,107.85,7.23,7.23,107.85,109.12,2747863,207255,13.258,,41.2036,16937.0,16507.0,0.974611796658204,1.1224780146815114,57.155250818640965
342-U1410A,"342-U1410A-11H-5,64",342,U1410,A,11,H,5,64,100.64,107.87,7.23,7.23,107.87,109.14,2701047,213433,12.655,,41.2042,20017.0,18536.0,0.9260128890443123,1.102262149494273,56.45487216922909
342-U1410A,"342-U1410A-11H-5,66",342,U1410,A,11,H,5,66,100.66,107.89,7.23,7.23,107.89,109.16,2576118,224555,11.472,,41.2048,22082.0,20023.0,0.9067566343628295,1.059639138323725,54.97819794722545
342-U1410A,"342-U1410A-11H-5,68",342,U1410,A,11,H,5,68,100.68,107.91,7.23,7.23,107.91,109.18,2394991,258312,9.272,,41.2054,23773.0,23191.0,0.9755184452950827,0.9671734229555395,51.77472323829467
342-U1410A,"342-U1410A-11H-5,70",342,U1410,A,11,H,5,70,100.7,107.93,7.23,7.23,107.93,109.2,2281858,290813,7.846,,41.206,25172.0,24020.0,0.9542348641347529,0.8946483037935171,49.262090484926404
342-U1410A,"342-U1410A-11H-5,72",342,U1410,A,11,H,5,72,100.72,107.95,7.23,7.23,107.95,109.22,2139106,280676,7.621,,41.2066,26355.0,26665.0,1.0117624739138684,0.8820119616266586,48.82430441055559
342-U1410A,"342-U1410A-11H-5,74",342,U1410,A,11,H,5,74,100.74,107.97,7.23,7.23,107.97,109.24,1979054,307805,6.43,,41.2072,27408.0,27848.0,1.016053706946877,0.8082109729242221,46.26746915695968
342-U1410A,"342-U1410A-11H-5,76",342,U1410,A,11,H,5,76,100.76,107.99,7.23,7.23,107.99,109.26,2002588,322567,6.208,,41.2078,26876.0,28416.0,1.0573001934811728,0.7929517082501321,45.73881193232583
342-U1410A,"342-U1410A-11H-5,78",342,U1410,A,11,H,5,78,100.78,108.01,7.23,7.23,108.01,109.28,1923464,414890,4.636,,41.2084,26114.0,27963.0,1.070804932220265,0.6661434272915584,41.34553903851604
342-U1410A,"342-U1410A-11H-5,80",342,U1410,A,11,H,5,80,100.8,108.03,7.23,7.23,108.03,109.3,1822643,389174,4.683,,41.209,28510.0,31240.0,1.0957558751315328,0.67052415778208,41.49730944636016
342-U1410A,"342-U1410A-11H-5,82",342,U1410,A,11,H,5,82,100.82,108.05,7.23,7.23,108.05,109.32,1639967,447175,3.667,,41.2096,28420.0,30535.0,1.0744194229415904,0.5643109099606027,37.817551475585084
342-U1410A,"342-U1410A-11H-5,84",342,U1410,A,11,H,5,84,100.84,108.07,7.23,7.23,108.07,109.34,1763758,411687,4.284,,41.2102,29277.0,31776.0,1.0853571062608873,0.631849462159818,40.157424616526896
342-U1410A,"342-U1410A-11H-5,86",342,U1410,A,11,H,5,86,100.86,108.09,7.23,7.23,108.09,109.36,1884681,351566,5.361,,41.2108,29467.0,30929.0,1.0496148233617266,0.7292458072253066,43.53172099132075
342-U1410A,"342-U1410A-11H-5,88",342,U1410,A,11,H,5,88,100.88,108.11,7.23,7.23,108.11,109.38,1851392,374838,4.939,,41.2114,29217.0,30830.0,1.0552075846253894,0.6936390261615483,42.29812406136684
342-U1410A,"342-U1410A-11H-5,90",342,U1410,A,11,H,5,90,100.9,108.13,7.23,7.23,108.13,109.4,1966083,320641,6.132,,41.212,28745.0,28895.0,1.00521829883458,0.7876021461823375,45.55347635448709
342-U1410A,"342-U1410A-11H-5,92",342,U1410,A,11,H,5,92,100.92,108.15,7.23,7.23,108.15,109.42,2058842,304521,6.761,,41.2126,27544.0,27910.0,1.0132878303804822,0.8300109359361179,47.0227288755068
342-U1410A,"342-U1410A-11H-5,94",342,U1410,A,11,H,5,94,100.94,108.17,7.23,7.23,108.17,109.44,1918124,344141,5.574,,41.2132,30261.0,30998.0,1.0243547800799708,0.7461669643772854,44.117954480851054
342-U1410A,"342-U1410A-11H-5,96",342,U1410,A,11,H,5,96,100.96,108.19,7.23,7.23,108.19,109.46,1919809,342992,5.597,,41.2138,29518.0,29824.0,1.010366555999729,0.7479553069067298,44.17991160778366
342-U1410A,"342-U1410A-11H-5,98",342,U1410,A,11,H,5,98,100.98,108.21,7.23,7.23,108.21,109.48,1909713,336737,5.671,,41.2144,29171.0,29902.0,1.0250591340715094,0.7536596472859987,44.37753848022342
342-U1410A,"342-U1410A-11H-5,100",342,U1410,A,11,H,5,100,101.0,108.23,7.23,7.23,108.23,109.5,2120961,288895,7.342,,41.215,27354.0,27470.0,1.0042406960590773,0.865814380167968,48.263139200919255
342-U1410A,"342-U1410A-11H-5,102",342,U1410,A,11,H,5,102,101.02,108.25,7.23,7.23,108.25,109.52,1865091,483329,3.859,,41.2156,26064.0,26863.0,1.0306553100061386,0.5864747785713966,38.58541870360604
342-U1410A,"342-U1410A-11H-5,104",342,U1410,A,11,H,5,104,101.04,108.27,7.23,7.23,108.27,109.54,2070109,398250,5.198,,41.2162,27797.0,27260.0,0.9806813684930028,0.7158362751649938,43.06714775309121
342-U1410A,"342-U1410A-11H-5,106",342,U1410,A,11,H,5,106,101.06,108.29,7.23,7.23,108.29,109.56,2277527,319049,7.138,,41.2168,27335.0,27573.0,1.0087067861715748,0.8535765436196416,47.839159353702485
342-U1410A,"342-U1410A-11H-5,108",342,U1410,A,11,H,5,108,101.08,108.31,7.23,7.23,108.31,109.58,2297813,317115,7.246,,41.2174,27566.0,27049.0,0.981245011971269,0.8600983296985181,48.06510663240516
342-U1410A,"342-U1410A-11H-5,110",342,U1410,A,11,H,5,110,101.1,108.33,7.23,7.23,108.33,109.6,2357492,307797,7.659,,41.218,26511.0,25789.0,0.97276602165139,0.8841720695239127,48.89914134865596
342-U1410A,"342-U1410A-11H-5,112",342,U1410,A,11,H,5,112,101.12,108.35,7.23,7.23,108.35,109.62,2609733,287149,9.088,,41.2186,25424.0,24320.0,0.9565764631843927,0.9584683183669436,51.47313488982276
342-U1410A,"342-U1410A-11H-5,114",342,U1410,A,11,H,5,114,101.14,108.37,7.23,7.23,108.37,109.64,2927319,241017,12.146,,41.2192,22077.0,19691.0,0.8919237215201341,1.0844332767865448,55.83719087426985
342-U1410A,"342-U1410A-11H-5,116",342,U1410,A,11,H,5,116,101.16,108.39,7.23,7.23,108.39,109.66,2938000,240534,12.214,,41.2198,22000.0,20135.0,0.9152272727272728,1.0868579156598468,55.9211924880354
342-U1410A,"342-U1410A-11H-5,118",342,U1410,A,11,H,5,118,101.18,108.41,7.23,7.23,108.41,109.68,3435919,194506,17.665,,41.2204,17867.0,15727.0,0.8802261151844182,1.2471136417708644,61.473252119151596
342-U1410A,"342-U1410A-11H-5,120",342,U1410,A,11,H,5,120,101.2,108.43,7.23,7.23,108.43,109.7,3428345,195086,17.574,,41.221,17086.0,15242.0,0.8920753833547934,1.2448706220652423,61.395542701450324
342-U1410A,"342-U1410A-11H-5,122",342,U1410,A,11,H,5,122,101.22,108.45,7.23,7.23,108.45,109.72,3696578,155725,23.738,,41.2216,13795.0,12043.0,0.8729974628488583,1.3754441255051169,65.91926172812478
342-U1410A,"342-U1410A-11H-5,124",342,U1410,A,11,H,5,124,101.24,108.47,7.23,7.23,108.47,109.74,4058792,124612,32.571,,41.2222,10882.0,9850.0,0.9051644918213564,1.5128310925475241,70.67903320130898
342-U1410A,"342-U1410A-11H-5,126",342,U1410,A,11,H,5,126,101.26,108.49,7.23,7.23,108.49,109.76,4056065,123707,32.788,,41.2228,8869.0,7283.0,0.8211748787912955,1.5157149264145824,70.77894362563322
342-U1410A,"342-U1410A-11H-5,128",342,U1410,A,11,H,5,128,101.28,108.51,7.23,7.23,108.51,109.78,4137477,119652,34.579,,41.2234,7080.0,6843.0,0.9665254237288136,1.5388124296330574,71.57915662463728
342-U1410A,"342-U1410A-11H-5,130",342,U1410,A,11,H,5,130,101.3,108.53,7.23,7.23,108.53,109.8,4060624,128228,31.667,,41.224,6964.0,6968.0,1.0005743825387707,1.500606922065987,70.25552681497612
342-U1410A,"342-U1410A-11H-5,132",342,U1410,A,11,H,5,132,101.32,108.55,7.23,7.23,108.55,109.82,3803034,147904,25.713,,41.2246,8858.0,9396.0,1.060736057800858,1.4101527498220678,67.12174201758555
342-U1410A,"342-U1410A-11H-5,134",342,U1410,A,11,H,5,134,101.34,108.57,7.23,7.23,108.57,109.84,3478274,183797,18.925,,41.2252,13331.0,13282.0,0.9963243567624335,1.2770358881721104,62.509908345722764
342-U1410A,"342-U1410A-11H-5,136",342,U1410,A,11,H,5,136,101.36,108.59,7.23,7.23,108.59,109.86,2947503,278218,10.594,,41.2258,22953.0,21964.0,0.956911950507559,1.025059968599579,53.78020261213241
342-U1410A,"342-U1410A-11H-5,138",342,U1410,A,11,H,5,138,101.38,108.61,7.23,7.23,108.61,109.88,2451555,338186,7.249,,41.2264,28025.0,29905.0,1.0670829616413917,0.8602780997522349,48.07133476591618
342-U1410A,"342-U1410A-11H-5,140",342,U1410,A,11,H,5,140,101.4,108.63,7.23,7.23,108.63,109.9,2130552,383174,5.56,,41.227,31393.0,33435.0,1.065046347911955,0.7450747915820575,44.08011615436038
342-U1410A,"342-U1410A-11H-5,142",342,U1410,A,11,H,5,142,101.42,108.65,7.23,7.23,108.65,109.92,1994519,401372,4.969,,41.2276,31467.0,35424.0,1.125750786538278,0.6962689967455328,42.38923939224898
342-U1410A,"342-U1410A-11H-5,144",342,U1410,A,11,H,5,144,101.44,108.67,7.23,7.23,108.67,109.94,1860231,458099,4.061,,41.2282,30906.0,36591.0,1.1839448650747428,0.608632989490037,39.35308992088233
342-U1410A,"342-U1410A-11H-5,146",342,U1410,A,11,H,5,146,101.46,108.69,7.23,7.23,108.69,109.96,1773471,452293,3.921,,41.2288,29953.0,34506.0,1.1520048075318,0.5933968423002067,38.825233601490666
342-U1410A,"342-U1410A-11H-5,148",342,U1410,A,11,H,5,148,101.48,108.71,7.23,7.23,108.71,109.98,2029038,417947,4.855,,41.2294,31761.0,36025.0,1.1342526998520197,0.6861892342440237,42.040026020384204
